IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.147.167.40,2096,2096,true,NRT,Asia Pacific,Tokyo,91,11.36
89.168.84.83,443,443,true,FRA,Europe,Frankfurt,164,11.36
144.21.37.94,443,443,true,CDG,Europe,Paris,159,11.35
141.147.107.204,443,443,true,FRA,Europe,Frankfurt,213,11.35
158.101.70.155,80,80,false,NRT,Asia Pacific,Tokyo,79,11.33
141.147.179.64,2095,2095,false,NRT,Asia Pacific,Tokyo,78,11.32
158.179.189.235,2086,2086,false,NRT,Asia Pacific,Tokyo,86,11.32
150.230.98.39,8080,8080,false,NRT,Asia Pacific,Tokyo,78,11.31
138.2.20.230,2086,2086,false,NRT,Asia Pacific,Tokyo,86,11.31
158.179.186.234,2087,2087,true,NRT,Asia Pacific,Tokyo,104,11.31
141.147.179.64,8880,8880,false,NRT,Asia Pacific,Tokyo,84,11.30
140.238.51.89,2053,2053,true,NRT,Asia Pacific,Tokyo,79,11.30
150.230.216.34,2086,2086,false,NRT,Asia Pacific,Tokyo,81,11.29
141.147.111.139,443,443,true,FRA,Europe,Frankfurt,160,11.29
141.147.90.96,443,443,true,AMS,Europe,Amsterdam,175,11.29
141.147.178.202,80,80,false,NRT,Asia Pacific,Tokyo,77,11.28
138.2.13.200,2052,2052,false,NRT,Asia Pacific,Tokyo,87,11.28
138.2.148.83,443,443,true,FRA,Europe,Frankfurt,158,11.28
158.179.188.159,2087,2087,true,NRT,Asia Pacific,Tokyo,83,11.28
150.230.148.197,443,443,true,FRA,Europe,Frankfurt,196,11.28
141.147.178.135,2095,2095,false,NRT,Asia Pacific,Tokyo,82,11.27
138.3.210.114,2086,2086,false,NRT,Asia Pacific,Tokyo,77,11.27
141.147.164.153,2053,2053,true,NRT,Asia Pacific,Tokyo,82,11.26
141.147.175.230,2052,2052,false,NRT,Asia Pacific,Tokyo,101,11.26
158.101.92.156,2096,2096,true,NRT,Asia Pacific,Tokyo,80,11.25
141.147.93.52,443,443,true,LHR,Europe,London,172,11.25
151.145.68.166,8443,8443,true,NRT,Asia Pacific,Tokyo,85,11.24
141.147.174.7,2082,2082,false,NRT,Asia Pacific,Tokyo,78,11.24
158.101.92.156,8880,8880,false,NRT,Asia Pacific,Tokyo,79,11.24
144.24.190.217,443,443,true,AMS,Europe,Amsterdam,153,11.24
150.230.105.53,80,80,false,NRT,Asia Pacific,Tokyo,75,11.24
150.230.216.117,2053,2053,true,NRT,Asia Pacific,Tokyo,78,11.24
141.147.191.211,2082,2082,false,NRT,Asia Pacific,Tokyo,75,11.24
141.148.226.170,443,443,true,CDG,Europe,Paris,164,11.23
138.2.21.31,8080,8080,false,NRT,Asia Pacific,Tokyo,93,11.23
141.144.199.135,443,443,true,FRA,Europe,Frankfurt,211,11.22
158.179.188.159,2096,2096,true,NRT,Asia Pacific,Tokyo,79,11.22
144.24.167.145,443,443,true,FRA,Europe,Frankfurt,158,11.21
141.147.178.135,2082,2082,false,NRT,Asia Pacific,Tokyo,93,11.20
141.147.88.151,443,443,true,EWR,North America,Newark,219,11.20
140.83.36.42,8080,8080,false,NRT,Asia Pacific,Tokyo,78,11.20
138.2.163.104,443,443,true,FRA,Europe,Frankfurt,167,11.20
151.145.69.174,2086,2086,false,NRT,Asia Pacific,Tokyo,92,11.19
